2024-10-07 17:09:25 status half-configured libdebconfclient0:arm64 0.272ubuntu1
2024-10-07 17:09:25 status installed libdebconfclient0:arm64 0.272ubuntu1
2024-10-07 17:09:25 configure libbz2-1.0:arm64 1.0.8-6 <none>
2024-10-07 17:09:25 status unpacked libbz2-1.0:arm64 1.0.8-6
2024-10-07 17:09:25 status half-configured libbz2-1.0:arm64 1.0.8-6
2024-10-07 17:09:25 status installed libbz2-1.0:arm64 1.0.8-6
2024-10-07 17:09:25 configure libbsd0:arm64 0.12.2-1 <none>
2024-10-07 17:09:25 status unpacked libbsd0:arm64 0.12.2-1
2024-10-07 17:09:25 status half-configured libbsd0:arm64 0.12.2-1
2024-10-07 17:09:25 status installed libbsd0:arm64 0.12.2-1
2024-10-07 17:09:25 configure libblkid1:arm64 2.40.2-1ubuntu1 <none>
2024-10-07 17:09:25 status unpacked libblkid1:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:25 status half-configured libblkid1:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:25 status installed libblkid1:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:25 configure dash:arm64 0.5.12-9ubuntu1 <none>
2024-10-07 17:09:25 status unpacked dash:arm64 0.5.12-9ubuntu1
2024-10-07 17:09:25 status half-configured dash:arm64 0.5.12-9ubuntu1
2024-10-07 17:09:25 status installed dash:arm64 0.5.12-9ubuntu1
2024-10-07 17:09:25 configure libtinfo6:arm64 6.5-2 <none>
2024-10-07 17:09:25 status unpacked libtinfo6:arm64 6.5-2
